"","Time","MAT5180","MAT 86-15","WAPLS 51-80","WAPLS 86-15","WA5180","WA 86-15"
"1",-50,4.9496667628,5.6737223148,5.35521847313479,6.04922757527763,5.35521847313493,6.049227575278
"2",5,5.2588889952,5.8965556528,7.06378065376286,7.68627483571549,7.06378065376582,7.68627483571842
"3",122,3.3701111838,4.0625556134,5.56844592012883,6.20837106601832,5.56844592012932,6.20837106601894
"4",238,4.6124445412,5.2650000856,7.03654704457394,7.65538713447939,7.03654704457685,7.65538713448227
"5",352,4.3013334254,4.94094452,6.4999484107234,7.12439182471799,6.49994841072542,7.12439182472004
"6",489,4.3013334254,4.94094452,6.44828704102471,7.06959482804583,6.44828704102665,7.06959482804779
"7",778,3.3701111838,4.0625556134,5.68244527173205,6.31672605742248,5.68244527173273,6.31672605742327
"8",857,3.986944534,4.610277841,6.04240892499164,6.64508118251251,6.04240892499291,6.64508118251381
"9",940,3.986944534,4.610277841,4.79416830808624,5.40599259926244,4.79416830808546,5.4059925992618
"10",1017,3.986944534,4.610277841,5.25455617411065,5.8842152250138,5.25455617411063,5.88421522501391
"11",1095,3.3452222968,4.0389445034,6.52457844276595,7.14779921848604,6.52457844276802,7.14779921848812
"12",1247,3.986944534,4.610277841,4.89859844558322,5.5275691214817,4.89859844558261,5.52756912148125
"13",1362,3.986944534,4.610277841,4.63998742878731,5.28109828983914,4.63998742878628,5.28109828983831
"14",1477,3.986944534,4.610277841,5.61618382222077,6.23216818245509,5.61618382222134,6.23216818245574
"15",1596,3.986944534,4.610277841,5.29882949986117,5.93076341020629,5.29882949986122,5.93076341020648
"16",1713,3.986944534,4.610277841,4.16806350220844,4.78142514025126,4.16806350220663,4.78142514024965
"17",1790,3.986944534,4.610277841,5.55438006466863,6.17534456817333,5.5543800646691,6.17534456817389
"18",1871,3.986944534,4.610277841,3.99010922163716,4.61876695251215,3.99010922163506,4.61876695251029
"19",2031,4.0699445304,4.717888957,4.1323113862382,4.79640966124436,4.13231138623633,4.79640966124277
"20",2191,3.986944534,4.610277841,5.89351072756775,6.50879752571181,5.89351072756878,6.5087975257129
"21",2419,4.2981111976,4.9878334098,5.62838258230894,6.24319452981945,5.62838258230953,6.24319452982012
"22",2500,3.9206111986,4.5420556194,3.58370803284943,4.22161689488773,3.58370803284666,4.22161689488524
