datasetid,sitename,lon,lat,,,,,,,,,,,
421,Site 39 (Heusser 1978),-121.8,44.4,,,,,,,,,,,
422,Site 40 (Heusser 1978),-121.75,44.25,,,,,,,,,,,
423,Site 41 (Heusser 1978),-121.6,44.2,,,,,,,,,,,
424,Site 42 (Heusser 1978),-121.48,44.2,,,,,,,,,,,
425,Site 43 (Heusser 1978),-121.35,44.2,,,,,,,,,,,
426,Site 44 (Heusser 1978),-121.25,44.2,,,,,,,,,,,
427,Site 45 (Heusser 1978),-121.15,44.2,,,,,,,,,,,
428,Site 46 (Heusser 1978),-121,44.25,,,,,,,,,,,
429,Site 47 (Heusser 1978),-121.92,45.5,,,,,,,,,,,
430,Site 48 (Heusser 1978),-121.9,45.55,,,,,,,,,,,
431,Site 49 (Heusser 1978),-121.89,45.55,,,,,,,,,,,
432,Site 50 (Heusser 1978),-121.88,45.55,,,,,,,,,,,
433,Site 51 (Heusser 1978),-121.87,45.55,,,,,,,,,,,
434,Site 52 (Heusser 1978),-121.86,45.12,,,,,,,,,,,
435,Site 53 (Heusser 1978),-121.85,45.52,,,,,,,,,,,
436,Upper Satsop Lakes 1,-123.51456,47.42978,,,,,,,,,,,
437,Upper Satsop Lakes 2,-123.51026,47.42388,,,,,,,,,,,
438,Wynoochee Valley,-123.61357,47.37884,,,,,,,,,,,
439,East Fork Humptulips River,-123.7,47.3,,,,,,,,,,,
440,West Fork Humptulips River,-123.8,47.2,,,,,,,,,,,
441,North Bay,-124.08,47.05,,,,,,,,,,,
442,Baker Prairie,-124.04,47.2,,,,,,,,,,,
443,Upper Moclips River 1,-124.02,47.25,,,,,,,,,,,
444,Upper Moclips River 2,-123.95,47.3,,,,,,,,,,,
445,Upper Moclips River 3,-123.8,47.35,,,,,,,,,,,
446,Humptulips 1,-123.84,47.45,,,,,,,,,,,
447,Humptulips 2,-123.85,47.5,,,,,,,,,,,
448,Humptulips 3,-123.6,47.55,,,,,,,,,,,
449,Quinault Ridge,-124.25,47.58,,,,,,,,,,,
450,Willaby Creek,-124.22,47.6,,,,,,,,,,,
451,July Creek,-124.25,47.6,,,,,,,,,,,
452,Irely Lake,-124,47.65,,,,,,,,,,,
453,Kalaloch 1,-124.3,47.3,,,,,,,,,,,
454,Kalaloch 2,-124.35,47.7,,,,,,,,,,,
455,Kalaloch 3,-124.12,47.73,,,,,,,,,,,
456,Queets River,-124.09,47.75,,,,,,,,,,,
457,Steamboat Creek,-124.1,47.78,,,,,,,,,,,
458,Cedar Creek,-124.1,47.1,,,,,,,,,,,
459,Mount Octopus 1,-124.05,47.8,,,,,,,,,,,
460,Mount Octopus 2,-124,47.75,,,,,,,,,,,
461,Hoh River 2,-123.9,47.85,,,,,,,,,,,
462,Hoh River 1,-124.25,47.82,,,,,,,,,,,
463,Hoh River 3,-124.55,47.83,,,,,,,,,,,
464,Hoh River 4,-124.67,47.85,,,,,,,,,,,
465,Hoh River 5,-124.45,48,,,,,,,,,,,
466,Hoh-Bogachiel Divide 1,-124.7,48.22,,,,,,,,,,,
467,Hoh-Bogachiel Divide 2,-124.5,48.2,,,,,,,,,,,
468,La Push,-124.8,48.5,,,,,,,,,,,
469,Mora,-124.15,48.2,,,,,,,,,,,
470,Wentworth Lake,-124.5307,48.00985,,,,,,,,,,,
471,Ozette Lake,-123.6,48.05,,,,,,,,,,,
472,Cape Alava,-123.75,47.94,,,,,,,,,,,
473,Wessler,-123.3,47.95,,,,,,,,,,,
474,Cape Flattery,-123.25,47.92,,,,,,,,,,,
475,Beaver Lake (US:Washington),-123.2,47.9,,,,,,,,,,,
476,Fairholm,-123.2,47.93,,,,,,,,,,,
477,Elwha,-123.04,48.02,,,,,,,,,,,
478,Olympic Hot Springs,-122.89,47.86,,,,,,,,,,,
479,Blue Mountain,-122.75,47.85,,,,,,,,,,,
480,Deer Park (US:Washington: Jefferson),-123.9,47.75,,,,,,,,,,,
481,Deer Park (US:Washington: Kitsap),-123,47.6,,,,,,,,,,,
482,Deer Park Road,-124.12,47.2,,,,,,,,,,,
483,Sequim,-124.03,47.3,,,,,,,,,,,
484,Discovery Bay,-123.95,47.2,,,,,,,,,,,
485,Shine,-123.97,47.25,,,,,,,,,,,
486,Mount Walker,-124.12,47.8,,,,,,,,,,,
487,Eldon,-124.67,48.1,,,,,,,,,,,
40550,Columbine Ranch Fen,-107.81571,37.60664,,,,,,,,,,,
544,Hershop Bog,-97.60833,29.58333,,,,,,,,,,,
551,USGS Gage 15,-80.38083,26.38722,,,,,,,,,,,
552,USGS Gage 34,-80.485,25.86917,,,,,,,,,,,
553,USGS Gage 65,-80.72,25.81444,,,,,,,,,,,
554,USGS Gage 63,-80.53111,26.18861,,,,,,,,,,,
555,USGS Gage 76,-80.48278,25.0075,,,,,,,,,,,
556,USGS Gage 62,-80.75139,26.17444,,,,,,,,,,,
557,"Water Conservation Area 3A, Site 3-4-1",-80.46944,26.16694,,,,,,,,,,,
558,"Water Conservation Area 3A, Site 3-4-2",-80.52306,26.19,,,,,,,,,,,
559,"Water Conservation Area 3A, Site 3-4-3",-80.60861,26.17028,,,,,,,,,,,
560,"Water Conservation Area 3A, Site 3-4-4",-80.46944,26.03583,,,,,,,,,,,
561,Loxahatchee Site 1,-80.33889,26.51667,,,,,,,,,,,
562,Loop Road Site 2,-80.79861,25.31944,,,,,,,,,,,
563,Loxahatchee Site 3,-80.33889,26.52278,,,,,,,,,,,
564,Loxahatchee Site 4,-80.34194,26.52278,,,,,,,,,,,
565,Loop Road Site 3,-80.79528,25.27861,,,,,,,,,,,
566,Loop Road Site 1,-80.79528,25.31944,,,,,,,,,,,
567,Taylor Creek Site 1A,-80.64333,25.19778,,,,,,,,,,,
568,Taylor Slough Site 2,-80.64389,25.20556,,,,,,,,,,,
569,Taylor Slough Site 14,-80.73639,25.21306,,,,,,,,,,,
570,Rotenberger Site 1,-80.84917,26.36333,,,,,,,,,,,
571,Davitt Pond,-73.53,42.7,,,,,,,,,,,
572,Knickerbocker Lake,-73.68,42.47,,,,,,,,,,,
573,Lyons Pond,-73.58,42.53,,,,,,,,,,,
574,Mohawk Pond,-73.29269,41.81115,,,,,,,,,,,
575,Round Pond,-73.43,42.65,,,,,,,,,,,
576,Tackawasick Lake,-73.52,42.53,,,,,,,,,,,
577,Thompsons Lake,-74.05,42.65,,,,,,,,,,,
578,Tom Swamp,-72.2125,42.51667,,,,,,,,,,,
579,West Sand Lake Peat Bog,-73.6,42.63333,,,,,,,,,,,
580,Site 1 (Delcourt  et al. 1983),-89.53,36.9,,,,,,,,,,,
581,Site 2 (Delcourt  et al. 1983),-88.63,35.8,,,,,,,,,,,
582,Site 3 (Delcourt  et al. 1983),-87.98,36.02,,,,,,,,,,,
583,Site 4 (Delcourt  et al. 1983),-83.42,36.02,,,,,,,,,,,
584,Site 5 (Delcourt  et al. 1983),-81.92,34.63,,,,,,,,,,,
585,Site 6 (Delcourt  et al. 1983),-82.82,34.53,,,,,,,,,,,
586,Site 7 (Delcourt  et al. 1983),-83.23,34.39,,,,,,,,,,,
587,Site 8 (Delcourt  et al. 1983),-84.22,33.9,,,,,,,,,,,
588,Site 9 (Delcourt  et al. 1983),-86.12,34.1,,,,,,,,,,,
589,Site 10 (Delcourt  et al. 1983),-87.35,33.17,,,,,,,,,,,
590,Site 11 (Delcourt  et al. 1983),-87.67,32.58,,,,,,,,,,,
591,Site 12 (Delcourt  et al. 1983),-85.92,35.42,,,,,,,,,,,
592,Site 13 (Delcourt  et al. 1983),-86.25,30.38,,,,,,,,,,,
593,Site 14 (Delcourt  et al. 1983),-87.33,30.71,,,,,,,,,,,
594,Site 15 (Delcourt  et al. 1983),-87.63,31.02,,,,,,,,,,,
595,Site 16 (Delcourt  et al. 1983),-88.35,30.8,,,,,,,,,,,
596,Site 17 (Delcourt  et al. 1983),-89.6,31.29,,,,,,,,,,,
597,Site 18 (Delcourt  et al. 1983),-90.2,31.14,,,,,,,,,,,
598,Site 19 (Delcourt  et al. 1983),-91.2,31.55,,,,,,,,,,,
599,Site 20 (Delcourt  et al. 1983),-91.23,32.14,,,,,,,,,,,
600,Site 21 (Delcourt  et al. 1983),-90.87,32.3,,,,,,,,,,,
601,Site 22 (Delcourt  et al. 1983),-90.15,33.52,,,,,,,,,,,
602,Site 23 (Delcourt  et al. 1983),-89.23,33.54278,,,,,,,,,,,
603,Site 24 (Delcourt  et al. 1983),-88.68,33.78,,,,,,,,,,,
604,Site 25 (Delcourt  et al. 1983),-88.72,34.15,,,,,,,,,,,
605,Site 26 (Delcourt  et al. 1983),-89.3,34.31,,,,,,,,,,,
606,Site 27 (Delcourt  et al. 1983),-90.28,34.26,,,,,,,,,,,
607,Site 28 (Delcourt  et al. 1983),-83.9,32.79,,,,,,,,,,,
608,Site 29 (Delcourt  et al. 1983),-84.22,31.83,,,,,,,,,,,
609,Site 30 (Delcourt  et al. 1983),-83.33,31.4,,,,,,,,,,,
610,Site 31 (Delcourt  et al. 1983),-82.85,31.21,,,,,,,,,,,
611,Site 32 (Delcourt  et al. 1983),-81.38,31.75,,,,,,,,,,,
612,Site 33 (Delcourt  et al. 1983),-82.3,32.4,,,,,,,,,,,
613,Site 34 (Delcourt  et al. 1983),-82.68,33.46,,,,,,,,,,,
614,Site 35 (Delcourt  et al. 1983),-83.25,33.55,,,,,,,,,,,
615,Site 36 (Delcourt  et al. 1983),-84.25,32.62,,,,,,,,,,,
616,Site 37 (Delcourt  et al. 1983),-80.17,36.11,,,,,,,,,,,
617,Site 38 (Delcourt  et al. 1983),-79.05,36.07,,,,,,,,,,,
618,Site 39 (Delcourt  et al. 1983),-78.03,36.01,,,,,,,,,,,
619,Site 40 (Delcourt  et al. 1983),-77.63,36.43,,,,,,,,,,,
620,Site 41 (Delcourt  et al. 1983),-79.15,35.77,,,,,,,,,,,
621,Site 42 (Delcourt  et al. 1983),-78.55,35.91,,,,,,,,,,,
622,Site 43 (Delcourt  et al. 1983),-76.53,35.94,,,,,,,,,,,
623,Site 44 (Delcourt  et al. 1983),-76.85,34.73,,,,,,,,,,,
624,Site 45 (Delcourt  et al. 1983),-79.33,34.5,,,,,,,,,,,
625,Site 46 (Delcourt  et al. 1983) ,-81.82,33.55,,,,,,,,,,,
626,Site 47 (Delcourt  et al. 1983),-80.37,33.21,,,,,,,,,,,
627,Site 48 (Delcourt  et al. 1983) ,-79.95,33.06,,,,,,,,,,,
628,Site 49 (Delcourt  et al. 1983),-78.88,33.72,,,,,,,,,,,
629,Site 50 (Delcourt  et al. 1983),-79.72,32.93,,,,,,,,,,,
630,Site 51 (Delcourt  et al. 1983) ,-93.27,34.51,,,,,,,,,,,
631,Site 52 (Delcourt  et al. 1983),-92.68,34.54,,,,,,,,,,,
632,Site 53 (Delcourt  et al. 1983) ,-94.42,33.48,,,,,,,,,,,
