"","Time","MAT5180","MAT 86-15","WAPLS 51-80","WAPLS 86-15","WA5180","WA 86-15"
"1",1060,16.605444728,17.10888918,10.295338265932,10.9155633519881,10.2953382659403,10.915563351996
"2",1192,16.84733362,17.264944732,11.2726292799577,11.8777944316112,11.2726292799676,11.8777944316207
"3",1315,18.236833642,18.70227808,10.8755876883832,11.4932959844715,10.8755876883924,11.4932959844804
"4",1448,17.982055856,18.350444736,10.8891991289284,11.4977605493292,10.8891991289377,11.497760549338
"5",1605,15.2126669356,15.745889138,10.4152370871328,11.0355740811183,10.4152370871412,11.0355740811264
"6",1694,20.202555886,20.69027811,11.3216436064351,11.9343742787021,11.3216436064451,11.9343742787117
"7",1879,18.687000314,19.125611414,10.8381028997022,11.4543927591097,10.8381028997114,11.4543927591185
"8",1979,17.443055854,17.832166958,10.9670217682116,11.5796427542721,10.967021768221,11.5796427542811
"9",2369,11.5415557648,12.0148890886,10.1339035870231,10.7534339100727,10.1339035870311,10.7534339100804
"10",2544,17.443055854,17.832166958,10.8483098094202,11.4615114265091,10.8483098094293,11.4615114265179
"11",2752,18.236833642,18.70227808,10.8852174525768,11.4999522951925,10.885217452586,11.4999522952013
"12",2936,18.236833642,18.70227808,10.5869885736853,11.2037656173234,10.586988573694,11.2037656173318
"13",3117,16.2889447296,16.931000278,10.4264756911341,11.0464507328662,10.4264756911426,11.0464507328744
"14",3297,17.62816696,17.995500278,10.8816335287312,11.4864643550714,10.8816335287404,11.4864643550802
"15",3469,16.1041113908,16.587944718,10.7688052143083,11.3839074585693,10.7688052143173,11.383907458578
"16",3655,18.50666697,18.881000302,11.2305797421324,11.8396781537786,11.2305797421422,11.839678153788
"17",3839,19.581111442,20.019222546,11.6568316368868,12.267002922693,11.6568316368974,12.267002922703
"18",4037,17.443055854,17.832166958,10.882687447518,11.4918857962014,10.8826874475272,11.4918857962102
"19",4234,17.443055854,17.832166958,10.3552403675961,10.9752729063092,10.3552403676044,10.9752729063173
"20",4414,17.443055854,17.832166958,10.6966968032965,11.3064462962779,10.6966968033055,11.3064462962865
"21",4586,18.236833642,18.70227808,10.4904786183151,11.1087771058754,10.4904786183237,11.1087771058837
"22",4772,18.659055862,19.06783364,11.5699078856954,12.1730799496717,11.5699078857057,12.1730799496816
"23",4971,19.868944786,20.348833658,11.0459391535463,11.6555883672993,11.0459391535558,11.6555883673084
"24",5179,16.93916696,17.286333612,10.8357592833791,11.4437107587675,10.8357592833883,11.4437107587763
"25",5387,18.236833642,18.70227808,10.5792941552822,11.1913844516036,10.579294155291,11.191384451612
"26",5584,17.54944475,17.895722498,11.1247648537207,11.728459037316,11.1247648537304,11.7284590373252
"27",5718,18.557500322,18.941000304,11.6815806890983,12.2817448213547,11.6815806891089,12.2817448213648
"28",5828,18.69011142,19.0940003,12.1064068735446,12.6963007733578,12.1064068735559,12.6963007733685
"29",5930,19.49988921,19.924833648,11.863785254066,12.4642221759663,11.8637852540769,12.4642221759766
