site.name,lat,long,51.8,86.15,Abies,Acer,Alnus rugosa,AlnusXC,Aquifoliaceae,Arceuthobium,Artemisia,Asteraceae,Betula,Brassicaceae,Carya,Caryophyllaceae,Castanea,Celtis,Cephalanthus,Chenopodiaceae/Amaranthaceae,Chrysolepis/Lithocarpus,Corylus,Cupressaceae,Cyperaceae,Dryas,Ephedra,Ericaceae,Fagus,Juglans,Larix/Pseudotsuga,Liquidambar,Minor Forbs,Myricaceae,Nyssa,Ostrya/Carpinus,Oxyria,Papaveraceae,Picea,Pinus diploxylon,Pinus haploxylon,Pinus undifferentiated,Plantaginaceae,Platanus,Poaceae,Populus,Prosopis,Pteridium,Quercus,Rosaceae,Salix,Sarcobatus,Sphagnum,Taxodium,Tilia,Total Fraxinus (sum of nigra/penn/undiff),Total Lycopodium,Tsuga undifferentiated,Ulmus
Derinda,42.27,-90.08,8.655000148,9.259166844,0,0.865800866,0,0,0,0,0,1.731601732,0,0,6.060606061,0,0,0,0,1.731601732,0,0,0,0,0,0,0,0,1.731601732,0,0,0,0,0,1.298701299,0,0,0.432900433,0,0,1.298701299,0,0,45.45454545,0.865800866,0,0,35.93073593,0,0.432900433,0,0,0,0.432900433,0,0,0,1.731601732
Woodbn24,42.32,-90.1,8.655000148,9.259166844,0,4.090909091,0,0.454545455,0,0,0.909090909,0.454545455,2.727272727,0,3.636363636,0,0,0,0,2.272727273,0,0,0,0,0,0,0,0,2.727272727,0,0,0,0,0,0.454545455,0,0,0.454545455,0,0,6.818181818,0,0,27.27272727,0,0,0,42.72727273,0,0.909090909,0,0,0,0,0,0,0,4.090909091
Wardsg17,42.32,-89.93,8.240833447,8.86388903,0,1.801801802,0,0,0,0,0,3.153153153,0.900900901,0,3.153153153,0,0,0,0,1.801801802,0,0,0.900900901,0,0,0,0,0,2.702702703,0,0,0,0,0,0.45045045,0,0,0.45045045,0,0,2.702702703,0,0,9.459459459,0,0,0,69.36936937,0,1.351351351,0,0,0,0,0,0,0,1.801801802
Woodbn07,42.33,-90.12,8.655000148,9.259166844,0,2.18579235,0,0,0,0,0,1.092896175,0.546448087,0,5.464480874,0,0,0.546448087,0,4.371584699,0,0,0,0,0,0,0,0,3.278688525,0,0,0,0,0,1.092896175,0,0,0,0,0,2.732240437,0,0,13.1147541,0,0,0,63.38797814,0,0,0,0,0,0,0.546448087,0,0,1.639344262
Blanch Road,42.77,-89.87,7.491666845,8.158055701,0,0,0,0,0,0,0,1.339285714,0.446428571,0,2.232142857,0,0,0,0,4.464285714,0,0,0,0,0,0,0,0,11.60714286,0,0,0,0,0,0.892857143,0,0,0,0,0,2.232142857,0,0,38.83928571,0,0,0,35.71428571,0,0.446428571,0,0,0,0,0,0,0,1.785714286
Coon,43.65,-90.92,6.78694457,7.674444608,0,0,0,0,0,0,0,3.260869565,0,0,6.52173913,0,0,0,0,3.260869565,0,0,0,0,0,0,0,0,2.173913043,0,0,0,0,0,0,0,0,0,0,0,4.347826087,1.630434783,0,41.84782609,0,0,0,26.63043478,0.543478261,0.543478261,0,0,0,0,1.086956522,0,0,8.152173913
Liberty,43.52,-90.78,6.78694457,7.674444608,0,1.224489796,0,0,0,0,0,2.448979592,1.224489796,0,5.714285714,0,0,0,0,4.897959184,0,0.408163265,0,0,0,0,0,0,1.224489796,0,0,0,0,0,0.408163265,0,0,0.408163265,0,0,1.632653061,0,0,59.18367347,0,0,0,19.18367347,0,0,0,0,0,0.408163265,0,0,0,1.632653061
Clinton,43.68,-90.73,6.78694457,7.674444608,0,2.262443439,0,0,0,0,0,2.262443439,4.07239819,0,4.977375566,0,0,0,0,3.167420814,0,0.452488688,0,0,0,0,0,0,0,0,0,0,0,0,4.07239819,0,0,0.904977376,0,0,3.619909502,0,0,28.50678733,0,0,0,35.74660633,0.452488688,0,0,0,0,1.809954751,0.452488688,0,0,7.239819005
Green WD,43.58,-90.38,6.670833484,7.578889028,0,2.749140893,0,0,0,0,0,2.405498282,2.749140893,0,9.278350515,0,0,0,0,1.030927835,0,0,0,0,0,0,0,0,1.030927835,0,0,0,0,0,2.749140893,0,0,0,0,0,4.810996564,0,0,24.05498282,0,0,0,38.83161512,0,1.030927835,0,0,0,0,0.687285223,0,0,8.591065292
English River,43.4,-90.5,7.230277915,7.995000132,0,0,0,0,0,0,0,1.181102362,0,0,15.7480315,0,0,0,0,2.362204724,0,0,0,0,0,0.393700787,0,0,0.787401575,0,0,0,0,0,0,0,0,0,0,0,6.299212598,0,0,27.16535433,0,0,0,33.46456693,0,0.393700787,0,0,0,0,1.181102362,0,0,11.02362205
