"","Time","MAT5180","MAT 86-15","WAPLS 51-80","WAPLS 86-15","WA5180","WA 86-15"
"1",-49,10.381222409,11.064555767,11.3764668750126,11.9561274544577,11.3764668750226,11.9561274544673
"2",-34.779,10.381222409,11.064555767,11.8192420996474,12.3897245617004,11.8192420996582,12.3897245617107
"3",-20.414,10.08866685,10.779333534,11.2445791210486,11.8282607772633,11.2445791210584,11.8282607772726
"4",-6.048,10.517166857,11.139944651,11.6921208187431,12.2632602151262,11.6921208187537,12.2632602151363
"5",8.317,10.381222409,11.064555767,10.9841333024786,11.570333997989,10.984133302488,11.570333997998
"6",22.683,9.940777961,10.678944657,12.4824815808706,13.0498712700083,12.4824815808824,13.0498712700196
"7",37.048,10.08866685,10.779333534,12.1353459934133,12.7121313103845,12.1353459934246,12.7121313103952
"8",51.414,10.673777968,11.349778,11.5581094148937,12.1342049863521,11.558109414904,12.134204986362
"9",65.779,9.648222402,10.393722424,11.7283595771374,12.301503915411,11.728359577148,12.3015039154212
"10",80.145,9.940777961,10.678944657,13.1115057340727,13.6745191334533,13.1115057340856,13.6745191334656
"11",96.396,9.355666843,10.108500191,12.3284047826538,12.9054603758673,12.3284047826654,12.9054603758783
"12",113.805,9.940777961,10.678944657,12.525260959781,13.0948699640824,12.5252609597929,13.0948699640938
"13",131.215,10.08866685,10.779333534,12.7467747941924,13.3200145481767,12.7467747942047,13.3200145481884
"14",148.625,10.673777968,11.349778,12.5528100877696,13.1130730097663,12.5528100877816,13.1130730097777
"15",166.035,10.381222409,11.064555767,12.588090765005,13.1564997431087,12.5880907650171,13.1564997431201
"16",183.445,9.648222402,10.393722424,12.7061178320052,13.2729699232688,12.7061178320174,13.2729699232804
"17",200.855,10.381222409,11.064555767,12.1170236028515,12.6947079861982,12.1170236028628,12.6947079862089
"18",218.265,10.08866685,10.779333534,10.9323071697378,11.5153066227896,10.9323071697471,11.5153066227985
"19",235.675,10.08866685,10.779333534,11.3886127807991,11.96712908119,11.3886127808092,11.9671290811996
"20",253.084,9.796111291,10.494111301,11.5752594144353,12.1507506444231,11.5752594144457,12.150750644433
"21",270.494,9.796111291,10.494111301,11.5081683347968,12.0851498650058,11.5081683348071,12.0851498650155
"22",287.904,10.381222409,11.064555767,12.2219420434112,12.7891407234573,12.2219420434226,12.7891407234682
"23",330.709,10.381222409,11.064555767,12.2800242879175,12.8468364168069,12.280024287929,12.8468364168179
"24",376.217,10.08866685,10.779333534,11.5571850819757,12.1314253692174,11.557185081986,12.1314253692273
"25",421.725,10.08866685,10.779333534,11.5645602388793,12.1361906538499,11.5645602388896,12.1361906538597
"26",467.232,10.08866685,10.779333534,11.9604905843307,12.5285870985883,11.9604905843417,12.5285870985988
"27",512.74,10.08866685,10.779333534,11.6886235811313,12.2576331088594,11.6886235811419,12.2576331088695
"28",558.248,10.381222409,11.064555767,11.3830103678752,11.9593423911146,11.3830103678853,11.9593423911242
"29",621.992,10.381222409,11.064555767,12.0181951942248,12.5837933090815,12.018195194236,12.5837933090921
"30",702.101,10.381222409,11.064555767,11.3568063530599,11.9230565697877,11.3568063530699,11.9230565697972
"31",782.209,10.08866685,10.779333534,11.4591371028056,12.0273247687811,11.4591371028158,12.0273247687908
"32",862.318,10.381222409,11.064555767,11.8766124740414,12.4450015467127,11.8766124740523,12.4450015467231
"33",942.426,10.08866685,10.779333534,11.4618148369624,12.0325747187321,11.4618148369726,12.0325747187418
"34",1017.006,9.5267779498,10.2517779716,11.3436847018083,11.9156644988976,11.3436847018183,11.9156644989071
"35",1085.507,10.08866685,10.779333534,11.8883876548948,12.4574829227413,11.8883876549057,12.4574829227517
"36",1154.007,10.08866685,10.779333534,11.5519492391518,12.1217351042701,11.5519492391622,12.1217351042799
"37",1222.508,10.381222409,11.064555767,11.5650266740397,12.1328082914746,11.5650266740501,12.1328082914845
"38",1359.509,11.231444645,11.852333549,11.8642382952424,12.4304743662874,11.8642382952532,12.4304743662978
"39",1428.009,10.08866685,10.779333534,11.7669848967827,12.3360494571934,11.7669848967934,12.3360494572036
"40",1496.51,10.08866685,10.779333534,11.7634005294856,12.3388026499431,11.7634005294963,12.3388026499533
"41",1565.01,10.08866685,10.779333534,11.7299858336743,12.3039161343154,11.7299858336849,12.3039161343255
"42",1633.511,10.08866685,10.779333534,11.3512333433011,11.9286257476075,11.3512333433111,11.928625747617
"43",1678.016,11.231444645,11.852333549,12.610878383482,13.1685892211424,12.6108783834941,13.1685892211538
"44",1712.152,10.08866685,10.779333534,12.0311796862344,12.5964747887723,12.0311796862455,12.5964747887829
"45",1780.423,10.08866685,10.779333534,12.2066024295354,12.7711353203387,12.2066024295468,12.7711353203496
"46",1814.558,10.08866685,10.779333534,12.1470378499172,12.7069509717016,12.1470378499285,12.7069509717124
"47",1848.693,10.08866685,10.779333534,12.039503289962,12.6062127207129,12.0395032899731,12.6062127207235
"48",1882.829,10.08866685,10.779333534,12.2127463529115,12.7813157995961,12.2127463529229,12.781315799607
"49",1916.964,10.08866685,10.779333534,12.1673155734226,12.7286318192776,12.1673155734339,12.7286318192884
"50",2053.506,10.08866685,10.779333534,11.2184860983919,11.7983173863774,11.2184860984017,11.7983173863867
"51",2190.048,8.7937779428,9.5809446286,11.7104421742015,12.2731808019888,11.7104421742121,12.2731808019989
"52",2546.998,10.08866685,10.779333534,12.1693086155584,12.7318595290522,12.1693086155698,12.731859529063
"53",2730.086,10.08866685,10.779333534,12.1931595930598,12.7521774281753,12.1931595930712,12.7521774281861
"54",2821.63,10.08866685,10.779333534,11.416385620092,11.9785455848639,11.4163856201021,11.9785455848736
"55",2913.174,10.1243890722,10.807833535,11.5931705695234,12.1511505155895,11.5931705695339,12.1511505155994
"56",3004.719,10.08866685,10.779333534,10.7798974543083,11.3429771194495,10.7798974543173,11.3429771194581
"57",3101.19,9.1461668368,9.902611301,10.7486211377277,11.3091481663107,10.7486211377367,11.3091481663192
"58",3201.188,10.08866685,10.779333534,10.2309712288143,10.7841006632048,10.2309712288224,10.7841006632126
"59",3301.186,10.381222409,11.064555767,10.5863307540975,11.1471346775925,10.5863307541062,11.1471346776008
"60",3401.184,9.3781668384,10.0833890824,10.3385567544951,10.8872493565604,10.3385567545035,10.8872493565683
"61",3451.183,9.9016668392,10.5483335354,9.79863732254032,10.3490894260558,9.79863732254778,10.3490894260629
"62",3501.182,9.1461668368,9.902611301,10.7473828258236,11.2983331368849,10.7473828258327,11.2983331368935
"63",3601.18,9.3781668384,10.0833890824,10.2664907146442,10.8063567916419,10.2664907146524,10.8063567916497
"64",3651.179,9.3781668384,10.0833890824,10.228810403474,10.7694204835585,10.2288104034821,10.7694204835663
"65",3701.178,8.8761112732,9.5922779594,10.3380606070448,10.8863327646494,10.3380606070531,10.8863327646573
