"","Time","MAT5180","MAT 86-15","WAPLS 51-80","WAPLS 86-15","WA5180","WA 86-15"
"1",6614,8.8147779254,9.3982223896,12.8066030502589,13.3542640297535,12.8066030502713,13.3542640297653
"2",6936,9.8747779326,10.4483335214,12.6967143969441,13.2522255583272,12.6967143969563,13.2522255583388
"3",6963,9.8747779326,10.4483335214,12.9159044162733,13.4646895243523,12.9159044162859,13.4646895243642
"4",7182,9.8747779326,10.4483335214,13.0167488537522,13.5637198351175,13.016748853765,13.5637198351296
"5",7294,9.0306668034,9.606166847,12.6810092807699,13.2347397310533,12.6810092807821,13.2347397310649
"6",7321,8.8811667998,9.4771112926,12.1058685435328,12.6769901403122,12.105868543544,12.6769901403229
"7",7348,8.6550556918,9.2531112764,12.6951110009702,13.2533154287581,12.6951110009824,13.2533154287697
"8",7403,10.3471668382,10.9475001934,12.4189588028326,12.978035867357,12.4189588028444,12.9780358673682
"9",7448,8.7240556928,9.3180001748,12.6681646899369,13.2266375460664,12.6681646899491,13.2266375460779
"10",7493,10.6378334948,11.1701668702,12.7900380230461,13.3499360911283,12.7900380230585,13.34993609114
"11",7540,8.8833890254,9.4758890696,12.3077997045242,12.8745949699324,12.3077997045358,12.8745949699434
"12",7586,9.0996668044,9.6710557454,12.1849091138914,12.7487947312384,12.1849091139028,12.7487947312492
"13",7632,8.6211668144,9.2171112812,11.8507561190854,12.4200283158332,11.8507561190963,12.4200283158435
"14",7711,8.5077779138,9.122833499,12.5363821797677,13.0916607385187,12.5363821797797,13.0916607385301
"15",7790,8.3506668068,8.9637223812,12.5182993625758,13.0770275055351,12.5182993625877,13.0770275055465
"16",7869,11.1694446238,11.7210557604,12.6447457286742,13.2012931376854,12.6447457286864,13.201293137697
"17",7948,9.9690557176,10.5389446262,12.2556359898294,12.8241330076518,12.2556359898409,12.8241330076627
"18",8026,10.1761112842,10.7546112988,13.3591268416545,13.9068028738065,13.3591268416678,13.9068028738191
"19",8094,8.9103334814,9.5187223788,12.5977779478901,13.1605834450437,12.5977779479022,13.1605834450552
"20",8162,7.9839445862,8.6405001552,12.6035647559827,13.1650081120726,12.6035647559948,13.1650081120841
